nct_id,name,city,country
NCT04414943,Peking University First Hospital,Beijing,China
NCT04414943,Beijing Tiantan Hospital,Beijing,China
NCT04414943,Peking University International Hospital,Beijing,China
NCT04414943,Hunan Provincial Maternal and Child Health Care Hospital,Changsha,China
NCT04414943,Huaian Maternal and Child Health Care Hospital,Huaian,China
NCT04414943,Nanjing Maternal and Child Health Care Hospital,Nanjing,China
NCT04414943,Women's Hospital School Of Medicine Zhejiang University,Hangzhou,China
NCT02843022,Catholic Medical Center,Manchester,United States
NCT00833469,Massachusetts General Hospital,Boston,United States
NCT03927378,Beijing Tiantan Hospital,Beijing,China
NCT03927378,Peking University International Hospital,Beijing,China
NCT03927378,Hunan Provincial Maternal and Child Health Care Hospital,Changsha,China
NCT04043533,Didem Şimşek Küçükkelepçe,Adi̇yaman,Turkey
NCT03927378,Huaian Maternal and Child Health Care Hospital,Huaian,China
NCT03927378,Nanjing Maternal and Child Health Care Hospital,Nanjing,China
NCT03927378,Women's Hospital School Of Medicine Zhejiang University,Hanzhou,China
NCT02532504,Orangi Town,Karachi,Pakistan
NCT02791932,Beth Lewis,Minneapolis,United States
NCT06293274,Kocaeli University,Kocaeli,Turkey
NCT05353491,Human Development Research Foundation,Rawalpindi,Pakistan
NCT06057012,Cenexel CNR,Sherman Oaks,United States
NCT06057012,CenExel CNS-Torrance,Torrance,United States
NCT06057012,Clinical Research Center of Florida,Boynton Beach,United States
NCT06057012,"Aventura Clinical Research, LLC",Davie,United States
NCT06057012,South Florida Research Phase I-IV Inc,Miami Springs,United States
NCT06057012,"Synexus Clinical Research US, Inc.",Atlanta,United States
NCT06057012,Cenexel ACMR Atlanta Center for Medical Research,Atlanta,United States
NCT06057012,"iResearch Atlanta, LLC",Decatur,United States
NCT06057012,Research Carolina Elite,Denver,United States
NCT06057012,North Texas Clinical Trials,Fort Worth,United States
NCT06057012,Maximos OB/GYN,League City,United States
NCT06148831,Nurturely,Eugene,United States
NCT04108533,Hospital of the University Of Pennsylvania,Philadelphia,United States
NCT02813174,Palo Alto University,Palo Alto,United States
NCT03654261,McMaster University,Hamilton,Canada
NCT00059228,"National Institutes of Health Clinical Center, 9000 Rockville Pike",Bethesda,United States
NCT02516982,East Lancashire,Blackburn,United Kingdom
NCT05299398,Parkwood Institute Mental Health Care Building,London,Canada
NCT00942721,University of Iowa,Iowa City,United States
NCT00942721,Oregon Research Institute,Eugene,United States
NCT00942721,University of Melbourne,Heidelberg Heights,Australia
NCT02516982,Royal Bolton Hospital,Bolton,United Kingdom
NCT02516982,Burton Hospitals,Burton,United Kingdom
NCT02516982,The Pennine Acute Hospitals,Crumpsall,United Kingdom
NCT02516982,Hinchinbrooke Hospital,Huntingdon,United Kingdom
NCT02516982,East Midlands CRN,Lincoln,United Kingdom
NCT02516982,Chelsea & Westminster Hospital,London,United Kingdom
NCT05038085,Gazi University,Ankara,Turkey
NCT02516982,Hillingdon Hospitals,London,United Kingdom
NCT02516982,Northwick Park Hospital,London,United Kingdom
NCT03381495,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Wuhan,China
NCT02516982,West Middlesex Hospital,London,United Kingdom
NCT02516982,North of England,Newcastle,United Kingdom
NCT02516982,Shrewsburty & Telford Hospital,Shrewsbury,United Kingdom
NCT02516982,University Hospitals of North Midlands,Stoke-on-Trent,United Kingdom
NCT02516982,"Wrightington, Wigan and Leigh NHS",Wigan,United Kingdom
NCT03167905,KK Women's and Children's Hospital,Singapore,Singapore
NCT04857593,"Maurice Wohl Clinical Neuroscience Institute, 5 Cutcombe Rd, Brixton, London SE5 9RT",London,United Kingdom
NCT02692404,Magee Womens Hospital of UPMC,Pittsburgh,United States
NCT02692404,The Midwife Center for Birth and Womens Health,Pittsburgh,United States
NCT03351465,"University of California, San Francisco",Oakland,United States
NCT04506489,Mathilde Pointurier,Besançon,France
NCT05225987,University of Health Sciences Etlik Zübeyde Hanim Gyn Diseases Education and Research Hospital,Ankara,Turkey
NCT05585164,Weill Cornell Medicine,New York,United States
NCT03346551,Damien JOLLY,Reims,France
NCT04706442,Alice Lee Centre for Nursing Studies,Singapore,Singapore
NCT04940585,NYU Langone Health,New York,United States
NCT00282776,"Women's Behavioral HealthCARE Program, Suite 410, 3501 Forbes Ave",Pittsburgh,United States
NCT04183946,"University of Zurich, Department of Psychology - Clinical Psychology and Psychotherapy",Zürich,Switzerland
NCT03210155,Primay care; OB-GYN Clinic,Austin,United States
NCT05345834,Unity Healthcare - Brentwood,Washington,United States
NCT04565730,Istanbul Medipol University Hospital,Istanbul,Turkey
NCT03210155,Primary care; OB-GYN Clinic,Corpus Christi,United States
NCT05209789,Bordeaux Public Hospital,Bordeaux,France
NCT02355067,The Children's Hospital of Philadelphia,Philadelphia,United States
NCT02790905,Shoklo Malaria Research Unit,Mae Sot,Thailand
NCT05209789,Havre Public Hospital Maternity,Le Havre,France
NCT05209789,Reims Public Hospital Maternity,Reims,France
NCT03880032,Holy Family Hospital,Rawalpindi,Pakistan
NCT05209789,Rouen Public Hospital Maternity,Rouen,France
NCT05209789,Toulouse Child Guidance,Toulouse,France
NCT05209789,Toulouse Joseph Ducuing Maternity,Toulouse,France
NCT04138368,Ilanir shchori,Afula,Israel
